property_id,suburb,address,Postcode,source_url,sale_price,sale_date,prev_sale_price,prev_sale_date,property_type,bedrooms,bathrooms,car_spaces,Pool,land_size_m2,building_size_m2,year_built,auction_type,Storeys,renovated,listing_description,Realtor,flag_notes,Unnamed: 23,Unnamed: 24,sale_year,sale_month,property_age,years_since_prev_sale,price_growth_pct,price_per_m2,desc_word_count,desc_length,luxury_word_count
EP031,Epping,"15 Rockleigh Way, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-147916244,2266000.0,2025-05-29,830000.0,2012-03-02,House,3,2,2.0,0.0,257.6,125.0,,Yes,1,1.0,SOLD for Complex Record Price,,Uniland Real Estate | Epping - Castle Hill,,,2025,5,29.0,13.240246406570842,173.0120481927711,8796.583850931676,5,29,0
EP032,Epping,"54 Epping Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-145762164,3030000.0,2025-05-08,1788000.0,2017-03-22,House,6,5,3.0,0.0,824.0,185.0,,No,2,0.0,"STYLE, QUALITY & FUNCTIONALITY",Building size (450m2) sourced from listing description body text,Homeville - NORTH ROCKS,,,2025,5,29.0,8.128678986995208,69.46308724832215,3677.1844660194174,4,30,0
EP033,Epping,"5/52-54 Third Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-147734836,1430000.0,2025-05-07,538000.0,2009-07-14,Villa,3,2,1.0,0.0,3088.0,220.0,,No,1,0.0,Spacious Full-Brick Villa in Prime Location,"Land size (3,088m2) reflects the whole complex, not the individual villa lot; building size 220m2 is the individual unit",Ray White - Epping,,,2025,5,29.0,15.813826146475018,165.7992565055762,463.08290155440415,6,43,0
EP034,Epping,"12B Kandy Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-147430980,2670000.0,2025-03-29,,,House,3,4,4.0,0.0,951.8,260.0,2005.0,No,4,0.0,Luxurious master-crafted home with short walk to Epping Metro,"Property Value section shows conflicting 6 bed/5 bath (vs listing's 3/4); floor area 260m2, built 2005 and storeys 4 sourced from Property Value section only",Belle Property Ryde - RYDE,,,2025,3,20.0,,,2805.2111788190796,9,61,0
EP035,Epping,"13 Chesterfield Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-146558984,3180000.0,2025-01-24,2867000.0,2021-11-06,House,4,2,1.0,0.0,1005.0,240.0,,No,1,0.0,"Chesterfield Charmer on Expansive 1,005sqm (approx.) Corner Block","Property Value section shows sold date as 17 Jan 2025 (differs from listing's 24 Jan 2025); prior sale in 2021 for $2,867,000",Uniland Real Estate | Epping - Castle Hill,,,2025,1,29.0,3.216974674880219,10.917335193582142,3164.179104477612,8,65,0
EP036,Epping,"10 Leicester Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-146447036,3216000.0,2024-11-26,,,House,5,3,4.0,1.0,765.0,312.0,,No,2,0.0,Spacious Family Oasis with Sparkling Salt Water Inground Pool,,Ray White - Carlingford,,,2024,11,29.0,,,4203.921568627451,9,61,0
EP037,Epping,"14 Second Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-146491996,2850000.0,2024-11-23,760000.0,2003-09-04,House,4,3,2.0,1.0,697.0,262.0,1950.0,No,2,0.0,Family Entertainer in Cheltenham Girls Catchment and Potential Duplex Site (STCA),"Property Value section shows car spaces as 1 (vs listing's 2, garage+carport)",Stone Real Estate - Beecroft / Castle Hill / Epping,,,2024,11,74.0,21.22108145106092,275.0,4088.9526542324247,11,81,0
EP038,Epping,"2/1 Tarragundi Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-146215628,1771888.0,2024-10-27,850000.0,2013-05-28,Villa,3,2,1.0,0.0,279.0,112.0,1994.0,Yes,1,1.0,Sold for New Suburb Record (villa),Land size (279m2) sourced from Property Value section; not stated in listing's own features,Uniland Real Estate | Epping - Castle Hill,,,2024,10,30.0,11.416837782340862,108.4574117647059,6350.8530465949825,6,34,0
EP039,Epping,"19 Windermere Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-146083220,2500000.0,2024-10-16,1642000.0,2019-09-04,House,4,2,2.0,0.0,739.0,291.0,,No,1,1.0,A Family Haven with Future Potential,,Tracy Yap Realty - Epping,,,2024,10,29.0,5.117043121149897,52.25334957369062,3382.9499323410014,6,36,0
EP040,Epping,"2 Abuklea Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-145725252,2550000.0,2024-09-19,266000.0,1993-06-10,House,3,1,2.0,1.0,1060.0,211.0,,No,2,0.0,Character home & development opportunity on 1060m2,,Harris Partners Real Estate - Balmain,,,2024,9,29.0,31.277207392197127,858.6466165413533,2405.6603773584907,7,50,0
